"publisher","name","align","eye","hair","sex","alive","appearances","year"
"dc","William Batson (New Earth)","Good","Blue","Black","Male","Living",321,1940
"dc","Carol Ferris (New Earth)","Neutral","Blue","Black","Female","Living",319,1959
"dc","Jennifer-Lynn Hayden (New Earth)","Good","Green","others","Female","Living",309,1983
"dc","Renee Montoya (New Earth)","Good","Brown","Black","Female","Living",308,1992
"dc","Harvey Dent (New Earth)","Bad","Blue","Brown","Male","Living",306,1942
"dc","Courtney Whitmore (New Earth)","Good","Blue","Blond","Female","Living",305,1999
"dc","Kendra Saunders (New Earth)","Good","others","Brown","Female","Deceased",301,1999
"dc","Kara Zor-El (New Earth)","Good","Blue","Blond","Female","Living",297,2004
"dc","Jonah Hex (New Earth)","Good","Blue","Blond","Male","Deceased",291,1972
"dc","Rex Tyler (New Earth)","Good","Blue","Brown","Male","Living",288,1940
"dc","Pamela Isley (New Earth)","Neutral","Green","Red","Female","Living",286,1966
"dc","Pieter Cross (New Earth)","Good","Blue","Black","Male","Living",284,1999
"dc","Jonathan L. Thunder (New Earth)","Good","Blue","Blond","Male","Living",282,1940
"dc","Mari McCabe (New Earth)","Good","others","Brown","Female","Living",268,1981
"dc","Scott Free (New Earth)","Good","Blue","Black","Male","Living",268,1971
"dc","Martha Clark (New Earth)","Good","Blue","White","Female","Living",266,1986
"dc","John Zatara (New Earth)","Good","Blue","Black","Male","Deceased",256,1938
"dc","Jonathan Kent (New Earth)","Good","Blue","White","Male","Deceased",254,1986
"dc","Tatsu Yamashiro (New Earth)","Good","Brown","Black","Female","Living",252,1983
"dc","Lawrence Trainor (New Earth)","Good","Blue","Blond","Male","Living",250,1963
"dc","Brion Markov (New Earth)","Good","Green","others","Male","Living",245,1983
"dc","Sanderson Hawkins (New Earth)","Good","Blue","Blond","Male","Living",241,1941
"dc","Jonathan Chambers (New Earth)","Good","Blue","Blond","Male","Deceased",239,1941
"dc","Orion (New Earth)","Good","Blue","others","Male","Deceased",237,1971
"dc","Thaal Sinestro (New Earth)","Neutral","Yellow","Black","Male","Living",237,1961
"dc","Cassandra Cain (New Earth)","Good","Brown","Black","Female","Living",235,1999
"dc","Jason Todd (New Earth)","Neutral","Blue","Black","Male","Living",235,1987
"dc","Jean-Paul Valley (New Earth)","Good","Blue","Blond","Male","Deceased",234,1992
"dc","Hippolyta (New Earth)","Good","Blue","Black","Female","Living",231,1987
"dc","Joseph Wilson (New Earth)","Neutral","Green","Blond","Male","Living",229,1984
"dc","Bernhard Baker (New Earth)","Good","Blue","Blond","Male","Living",229,1965
"dc","Sylvester Pemberton (New Earth)","Good","Blue","Black","Male","Deceased",229,1941
"dc","Jesse Chambers (New Earth)","Good","Blue","Blond","Female","Living",228,1992
"dc","Floyd Lawton (New Earth)","Neutral","Blue","Brown","Male","Living",227,1950
"dc","Tora Olafsdotter (New Earth)","Good","Blue","White","Female","Living",225,1988
"dc","Amanda Waller (New Earth)","Good","Brown","Black","Female","Living",222,1986
"dc","Jonathan Crane (New Earth)","Bad","Blue","Brown","Male","Living",222,1941
"dc","Shiera Sanders (New Earth)","Good","Brown","Red","Female","Living",219,1940
"dc","Maxwell Lord IV (New Earth)","Neutral","Black","Brown","Male","Living",218,1987
"dc","Jeb Stuart (New Earth)","Good","Blue","Brown","Male","Living",218,1961
"dc","Damian Wayne (Prime Earth)","Good","Blue","Black","Male","Deceased",216,1987
"dc","Big Barda (New Earth)","Good","Blue","Black","Female","Deceased",216,1971
"dc","Niles Caulder (New Earth)","Good","Blue","others","Male","Living",214,1963
"dc","James Corrigan (New Earth)","Good","Blue","Red","Male","Deceased",214,1940
"dc","Samuel Bradley (New Earth)","Good","others","others","Male","Living",213,1937
"dc","Richard Tyler (New Earth)","Good","Brown","Brown","Male","Living",212,1985
"dc","Todd Rice (New Earth)","Good","Brown","Brown","Male","Living",208,1983
"dc","Matrix (Pocket Universe)","Good","Blue","Blond","Female","Living",206,1988
"dc","William Glenmorgan (New Earth)","Good","Blue","Black","Male","Deceased",199,1940
"dc","Stephanie Brown (New Earth)","Good","Blue","Blond","Female","Living",198,1992
"dc","Raymond Terrill (New Earth)","Good","Green","Red","Male","Living",192,1992
"dc","Adam Blake (New Earth)","Good","others","Brown","Male","Living",191,1951
"dc","Jack Ryder (New Earth)","Good","Blue","Black","Male","Living",188,1968
"dc","Justin Arthur (New Earth)","Good","Blue","Blond","Male","Living",184,1941
"dc","Max Mercury (New Earth)","Good","Blue","others","Male","Living",183,1940
"dc","Abigail Arcane (New Earth)","Good","Blue","White","Female","Living",182,1973
"dc","Thomas Haukins (New Earth)","Good","Blue","Blond","Male","Deceased",181,1947
"dc","Travis Morgan (New Earth)","Good","Blue","White","Male","Deceased",180,1975
"dc","Gorilla Grodd (New Earth)","Bad","others","Black","Male","Living",179,1959
"dc","Talia al Ghul (New Earth)","Bad","Brown","Brown","Female","Deceased",177,1971
"dc","Patrick Dugan (New Earth)","Good","Blue","Red","Male","Living",177,1941
"dc","James Harper Clone (New Earth)","Good","Blue","Brown","Male","Living",176,1971
"dc","Thomas Kalmaku (New Earth)","Good","Brown","Black","Male","Living",176,1960
"dc","Gabrielle Doe (New Earth)","Good","Blue","Blond","Female","Living",175,1983
"dc","Henry Hall (New Earth)","Good","Red","Brown","Male","Living",175,1968
"dc","Connor Hawke (New Earth)","Good","Green","Blond","Male","Living",174,1994
"dc","Cyrus Gold (New Earth)","Bad","Black","White","Male","Deceased",174,1944
"dc","Edward Nashton (New Earth)","Neutral","Blue","Black","Male","Living",173,1988
"dc","Arisia Rrab (New Earth)","Good","Yellow","Blond","Female","Living",173,1981
"dc","William Magnus (New Earth)","Good","Blue","Brown","Male","Living",170,1962
"dc","Mary Batson (New Earth)","Good","Blue","Brown","Female","Living",168,1995
"dc","Jean Loring (New Earth)","Bad","Green","Black","Female","Deceased",168,1961
"dc","Grant Emerson (New Earth)","Good","Blue","Black","Male","Deceased",166,1994
"dc","Rita Farr (New Earth)","Good","Brown","Brown","Female","Living",166,1963
"dc","Jason Rusch (New Earth)","Good","Brown","Black","Male","Living",165,2004
"dc","Hector Hall (New Earth)","Good","Blue","White","Male","Deceased",165,1983
"dc","Jaime Reyes (New Earth)","Good","Brown","Black","Male","Living",164,2006
"dc","Daniel Leong (New Earth)","Good","Black","Black","Male","Deceased",164,1942
"dc","Vril Dox II (New Earth)","Good","Green","Blond","Male","Living",163,1964
"dc","Roy Raymond, Sr. (New Earth)","Good","Blue","Brown","Male","Living",163,1949
"dc","Metron (New Earth)","Neutral","Blue","Black","Male","Deceased",161,1971
"dc","Hartley Rathaway (New Earth)","Good","Blue","Red","Male","Living",160,1959
"dc","Lana Lang (New Earth)","Good","Green","Red","Female","Living",159,1986
"dc","Rose Wilson (New Earth)","Good","Blue","White","Female","Living",158,1992
"dc","DeSaad (New Earth)","Bad","Black","Black","Male","Living",158,1971
"dc","Charles Taine (Pre-Zero Hour)","Good","Black","Black","Male","Living",158,1961
"dc","Bane (New Earth)","Bad","Brown","Brown","Male","Living",157,1993
"dc","Eve Eden (New Earth)","Neutral","Blue","Blond","Female","Living",154,1966
"dc","Harleen Quinzel (New Earth)","Bad","Blue","Blond","Female","Living",153,1999
"dc","Benjamin Turner (New Earth)","Neutral","Brown","Black","Male","Living",153,1975
"dc","Mark Mardon (New Earth)","Bad","Blue","Black","Male","Living",152,1960
"dc","Teth-Adam (New Earth)","Neutral","Brown","Black","Male","Living",152,1945
"dc","Catherine Grant (New Earth)","Good","Blue","Blond","Female","Living",151,1987
"dc","Terrence Sloane (New Earth)","Good","Blue","Brown","Male","Deceased",151,1942
"dc","Jason Blood (New Earth)","Good","Blue","Red","Male","Living",148,1972
"dc","Thomas Wayne (New Earth)","Good","Brown","Brown","Male","Deceased",142,1987
"dc","Arthur Light (New Earth)","Bad","Black","Black","Male","Deceased",142,1962
"dc","Artemis of Bana-Mighdall (New Earth)","Good","Green","Red","Female","Living",141,1994
"dc","Alanna Strange (New Earth)","Good","Blue","Black","Female","Living",141,1958
"dc","Nuidis Vulko (New Earth)","Good","Blue","White","Male","Living",140,1967
"dc","Steven Dayton (New Earth)","Good","Blue","Brown","Male","Living",140,1964
"dc","Lee Travis (New Earth)","Good","Black","Black","Male","Deceased",139,1938
"dc","Martin Stein (New Earth)","Good","Brown","others","Male","Deceased",138,1978
"dc","Unknown Soldier I (New Earth)","Good","Blue","Blond","Male","Deceased",136,1970
"dc","Giovanni Giuseppe (New Earth)","Neutral","Blue","Blond","Male","Deceased",136,1960
"dc","Cynthia Reynolds (New Earth)","Good","Blue","Black","Female","Living",134,1984
"dc","Victoria Vale (New Earth)","Good","Blue","Red","Female","Living",134,1948
"dc","Lucius Fox (New Earth)","Good","Brown","Black","Male","Living",133,1979
"dc","Ganthet (New Earth)","Good","Green","White","Male","Living",132,1992
"dc","Izaya (New Earth)","Good","others","White","Male","Deceased",132,1971
"dc","Rory Regan (New Earth)","Good","Blue","Brown","Male","Living",131,1976
"dc","Eclipso (New Earth)","Bad","Red","Black","Male","Living",131,1963
"dc","Kyle Morgan (New Earth)","Good","Brown","Blond","Male","Living",131,1957
"dc","Matthew Ryan (New Earth)","Good","Blue","Red","Male","Living",131,1957
"dc","Dinah Drake (New Earth)","Good","Blue","Black","Female","Deceased",131,1947
"dc","Robert Langstrom (New Earth)","Neutral","Brown","Brown","Male","Living",130,1970
"dc","Sargent Steel (New Earth)","Good","Blue","Brown","Male","Living",130,1964
"dc","Victory (New Earth)","Good","Black","White","Male","Living",130,1941
"dc","Walter Haley (New Earth)","Good","Brown","Brown","Male","Living",129,1957
"dc","Charles Victor Szasz (New Earth)","Good","Blue","others","Male","Deceased",128,1967
"dc","Ares (New Earth)","Bad","Red","Blond","Male","Living",127,1987
"dc","Eradicator (New Earth)","Good","others","Black","Male","Deceased",126,1989
"dc","Emil Hamilton (New Earth)","Bad","others","others","Male","Living",126,1987
"dc","Richard Swift (New Earth)","Neutral","others","Black","Male","Living",126,1942
"dc","Frederick Freeman (New Earth)","Good","Blue","Black","Male","Living",125,1995
"dc","Katar Hol (New Earth)","Good","Blue","Black","Male","Living",125,1989
"dc","Maxima (New Earth)","Good","Brown","Red","Female","Deceased",124,1989
"dc","Dawn Granger (New Earth)","Good","Blue","White","Female","Living",124,1988
"dc","Inza Cramer (New Earth)","Good","Green","others","Female","Deceased",124,1940
"dc","Linda Danvers (New Earth)","Good","Blue","Blond","Female","Living",123,1996
"dc","Gunner MacKay (New Earth)","Good","Blue","Blond","Male","Deceased",123,1959
"dc","Antonia Monetti (New Earth)","Good","Blue","Black","Female","Living",122,1996
"dc","Jack Knight (New Earth)","Good","Black","Black","Male","Living",122,1994
"dc","Nimue Inwudu (New Earth)","Good","Green","Black","Female","Living",121,1978
"dc","Sarge Clay (New Earth)","Good","Blue","others","Male","Deceased",121,1959
"dc","Pallas Athena (New Earth)","Neutral","others","Brown","Female","Living",118,1958
"dc","Evan McCulloch (New Earth)","Bad","Brown","Brown","Male","Living",116,1989
"dc","Terrence Long (New Earth)","Good","Blue","Red","Male","Deceased",116,1981
"dc","Granny Goodness (New Earth)","Bad","Blue","White","Female","Deceased",115,1971
"dc","Dolphin (New Earth)","Good","Blue","others","Female","Deceased",115,1968
"dc","Zeus (New Earth)","Neutral","Blue","White","Male","Living",115,1941
"dc","Holly Robinson (New Earth)","Good","Blue","Red","Female","Living",114,1987
"dc","Martha Kane (New Earth)","Good","Blue","Black","Female","Deceased",113,1987
"dc","Jason Woodrue (New Earth)","Bad","Red","others","Male","Living",113,1962
"dc","John Sargent (New Earth)","Good","Brown","Brown","Male","Deceased",113,1941
"dc","Dian Belmont (New Earth)","Good","others","Brown","Female","Deceased",113,1940
"dc","Edward Bloomberg (New Earth)","Good","Yellow","others","Male","Deceased",111,1984
"dc","Leslie Thompkins (New Earth)","Good","Blue","White","Female","Living",111,1976
"dc","Tara Markov (Team Titans)","Good","Blue","Blond","Female","Deceased",110,1991
"dc","Dmitri Pushkin (New Earth)","Good","Brown","Brown","Male","Deceased",110,1987
"dc","June Moone (New Earth)","Good","Green","Black","Female","Living",110,1966
"dc","Mia Dearden (New Earth)","Good","Blue","Blond","Female","Living",109,2001
"dc","Krypto (New Earth)","Good","Blue","White","Male","Living",109,1955
"dc","Ohiyesa I (New Earth)","Good","Black","Black","Male","Living",109,1949
"dc","Donald Richards (New Earth)","Good","Brown","Brown","Male","Deceased",109,1942
"dc","Zauriel (New Earth)","Good","Red","White","Male","Living",108,1997
"dc","Leonid Kovar (New Earth)","Good","Green","Blond","Male","Living",108,1968
"dc","Thomas Blake (New Earth)","Neutral","Blue","Blond","Male","Living",108,1963
"dc","Emily Briggs (New Earth)","Good","Blue","Red","Female","Living",107,1985
"dc","Lilith Clay (New Earth)","Good","Green","others","Female","Deceased",107,1970
"dc","Thomas Tresser (New Earth)","Good","Blue","Blond","Male","Living",106,1980
"dc","Hans von Hammer (New Earth)","Good","Blue","Red","Male","Living",106,1965
"dc","William Polk (New Earth)","Good","Blue","Brown","Male","Living",106,1948
"dc","Lyla Michaels (New Earth)","Good","Green","Blond","Female","Deceased",105,1982
"dc","Jervis Tetch (New Earth)","Bad","Blue","Red","Male","Living",105,1948
"dc","Enya Wazzo (New Earth)","Good","Blue","Black","Female","Living",104,1989
"dc","Werner Vertigo (New Earth)","Neutral","Blue","Blond","Male","Living",104,1978
"dc","Sapphire Stagg (New Earth)","Neutral","Blue","Blond","Female","Living",104,1965
"dc","Zinda Blake (New Earth)","Good","Blue","Blond","Female","Living",104,1959
"dc","Aphrodite (New Earth)","Neutral","Blue","Blond","Female","Living",104,1941
"dc","Sarah Essen (New Earth)","Good","Blue","Blond","Female","Deceased",103,1987
"dc","Jade Nguyen (New Earth)","Bad","Green","Black","Female","Living",103,1983
"dc","Wing How (New Earth)","Good","Brown","Black","Male","Living",103,1938
"dc","Jack Drake (New Earth)","Good","Black","Brown","Male","Deceased",102,1989
"dc","Adolf Hitler (New Earth)","Bad","Brown","Brown","Male","Deceased",101,1942
"dc","Grace Choi (New Earth)","Good","Brown","Red","Female","Living",100,2003
"dc","Natasha Irons (New Earth)","Good","Brown","Black","Female","Living",99,1994
"dc","Katherine Spencer (New Earth)","Good","Blue","Black","Female","Living",98,2004
"dc","Stealth (New Earth)","Good","others","White","Female","Deceased",98,1989
"dc","Lorraine Reilly (New Earth)","Good","Blue","Red","Female","Living",98,1982
"dc","Noah Kuttler (New Earth)","Bad","Green","Brown","Male","Living",98,1976
"dc","Tef\u00e9 Holland (New Earth)","Bad","Blue","White","Female","Living",97,1989
"dc","Hippolyta Trevor (New Earth)","Good","Blue","Blond","Female","Deceased",97,1983
"dc","Bizarro (New Earth)","Neutral","Black","Black","Male","Living",96,2000
"dc","Henry Henshaw (New Earth)","Bad","Blue","Black","Male","Living",96,1990
"dc","Maxine Hunkel (New Earth)","Good","Green","Red","Female","Living",95,2007
"dc","Dream (New Earth)","Neutral","Black","Black","Male","Deceased",95,1989
"dc","Wade Eiling (New Earth)","Bad","Red","Brown","Male","Living",95,1987
"dc","Black Manta (New Earth)","Bad","Brown","Black","Male","Living",95,1967
"dc","Felix Faust (New Earth)","Bad","Brown","Black","Male","Living",95,1962
"dc","Virgil Hawkins (Dakotaverse)","Good","Brown","Black","Male","Living",94,1993
"dc","James Harper (New Earth)","Good","Blue","Brown","Male","Deceased",94,1942
"dc","Soranik Natu (New Earth)","Good","others","Black","Female","Living",93,2005
"dc","Anissa Pierce (New Earth)","Good","Brown","Black","Female","Living",92,2003
"dc","Henry King, Jr. (New Earth)","Good","Blue","others","Male","Living",92,1983
"dc","Orm Marius (New Earth)","Bad","Brown","Brown","Male","Living",92,1966
"dc","Citizen Abra (New Earth)","Bad","Blue","Black","Male","Living",92,1962
"dc","Merlin (New Earth)","Neutral","Black","White","Male","Living",92,1936
"dc","William Payton (New Earth)","Good","Brown","Brown","Male","Deceased",91,1988
"dc","Danette Reilly (New Earth)","Good","Blue","Red","Female","Living",91,1981
"dc","Jonathan Tane (New Earth)","Good","Blue","Blond","Male","Deceased",91,1948
"dc","Ronald Troupe (New Earth)","Good","Brown","Black","Male","Living",90,1991
"dc","William Storm (New Earth)","Good","Brown","Brown","Male","Deceased",90,1964
"dc","Hermes (New Earth)","Neutral","Blue","Blond","Male","Living",90,1959
"dc","Timothy Hunter (New Earth)","Good","Black","Black","Male","Living",89,1990
"dc","Taghurrhu (New Earth)","Good","Green","others","Male","Living",89,1981
"dc","Sandra Wu-San (New Earth)","Neutral","Brown","Black","Female","Living",89,1976
"dc","Eobard Thawne (New Earth)","Bad","Blue","others","Male","Deceased",89,1963
"dc","William Zard (New Earth)","Bad","Blue","Black","Male","Living",89,1947
"dc","Arnold Wesker (New Earth)","Bad","Blue","White","Male","Deceased",88,1988
"dc","Philippus (New Earth)","Good","Brown","Black","Female","Living",88,1987
"dc","Miriam Delgado (Team Titans)","Good","Black","Black","Female","Living",87,1991
"dc","Mikaal Tomas (New Earth)","Good","Blue","others","Male","Living",87,1976
"dc","Peter Ross (New Earth)","Good","Blue","Blond","Male","Living",87,1961
"dc","Suzanne King-Jones (New Earth)","Good","Blue","Blond","Female","Living",86,1997
"dc","Shayera Thal (New Earth)","Good","Blue","Red","Female","Deceased",85,1989
"dc","Mallah (New Earth)","Bad","Brown","Brown","Male","Deceased",85,1964
"dc","Congorilla (New Earth)","Good","Blue","others","Male","Living",85,1959
"dc","Thomas Elliot (New Earth)","Bad","Blue","Red","Male","Living",84,2003
"dc","Greta Hayes (New Earth)","Good","Blue","Blond","Female","Living",84,1998
"dc","Julia Deneiros (New Earth)","Good","Blue","others","Female","Living",84,1987
"dc","Etta Candy (New Earth)","Good","Green","Brown","Female","Living",84,1942
"dc","Thomas Bronson (New Earth)","Good","Blue","Black","Male","Living",83,2007
"dc","Karen Beecher (New Earth)","Good","Brown","Black","Female","Living",83,1976
"dc","Ellen Frazier (New Earth)","Good","Green","Red","Female","Living",83,1965
"dc","Simon Stagg (New Earth)","Bad","Blue","White","Male","Living",83,1965
"dc","Rex, the Wonder Dog (New Earth)","Good","Blue","White","Male","Living",83,1952
"dc","Thomas Monaghan (New Earth)","Good","Black","Black","Male","Deceased",82,1993
"dc","Kalibak (New Earth)","Bad","Red","Black","Male","Deceased",82,1971
"dc","Drury Walker (New Earth)","Bad","Red","Brown","Male","Deceased",82,1951
"dc","Terrence Thirteen (New Earth)","Good","Brown","Brown","Male","Living",82,1951
"dc","Hannibal Hawkes (New Earth)","Good","Black","Black","Male","Living",82,1948
"dc","Circe (New Earth)","Bad","Red","others","Female","Living",81,1988
"dc","Baran Flinders (New Earth)","Bad","Blue","Red","Male","Living",81,1981
"dc","Mark Shaw (New Earth)","Good","Blue","Brown","Male","Living",81,1975
"dc","Neal Emerson (New Earth)","Bad","Blue","Black","Male","Deceased",81,1963
"dc","Cameron Chase (New Earth)","Good","Green","Blond","Female","Living",80,1998
"dc","John Corben (New Earth)","Bad","others","Brown","Male","Living",80,1987
"dc","Vanessa Kapatelis (New Earth)","Good","Blue","Brown","Female","Living",80,1987
"dc","Lian Harper (New Earth)","Good","Green","Black","Female","Deceased",80,1986
"dc","Malcolm Duncan (New Earth)","Good","Brown","Black","Male","Living",80,1970
"dc","Samuel Scudder (New Earth)","Bad","Brown","Brown","Male","Deceased",80,1959
"dc","Sasha Bordeaux (New Earth)","Good","Blue","Black","Female","Living",79,2000
"dc","Valentina Vostok (New Earth)","Good","Blue","Blond","Female","Deceased",79,1977
"dc","Paul Booker (New Earth)","Good","Brown","Black","Male","Deceased",79,1966
"dc","Abigail Hunkel (New Earth)","Good","Black","Brown","Female","Living",79,1939
"dc","Cyril Saunders (New Earth)","Good","others","White","Male","Living",79,1937
"dc","Christopher Smith (New Earth)","Good","Blue","Black","Male","Living",78,1966
"dc","Roger Hayden (New Earth)","Bad","Blue","Red","Male","Deceased",78,1965
"dc","Hector Hammond (New Earth)","Bad","Blue","Brown","Male","Living",78,1961
"dc","Lorena Marquez (New Earth)","Good","Brown","Brown","Female","Living",77,2004
"dc","Boodikka (New Earth)","Good","Green","Black","Female","Deceased",77,1992
"dc","Samuel Lane (New Earth)","Bad","Blue","others","Male","Deceased",77,1987
"dc","Lashina (New Earth)","Bad","Blue","Black","Female","Living",77,1972
"dc","Curtis Metcalf (Dakotaverse)","Good","Brown","Black","Male","Living",76,1993
"dc","Java (New Earth)","Bad","Black","Black","Male","Living",76,1965
"dc","Helena Sandsmark (New Earth)","Good","Brown","Brown","Female","Living",75,1996
"dc","Sarah Charles (New Earth)","Good","Brown","Black","Female","Living",75,1985
"dc","Richard Flag, Jr. (New Earth)","Good","Blue","Brown","Male","Living",75,1959
"dc","Nathaniel Heywood (New Earth)","Good","Green","Red","Male","Living",74,2007
"dc","Hugh Dawkins (New Earth)","Good","White","Blond","Male","Living",74,1986
"dc","Neron (New Earth)","Bad","White","Blond","Male","Living",73,1995
"dc","Victor Zsasz (New Earth)","Bad","Blue","Blond","Male","Living",73,1992
"dc","Kay Challis (New Earth)","Good","Blue","Black","Female","Living",73,1989
"dc","Roland Desmond (New Earth)","Bad","Brown","Brown","Male","Deceased",73,1965
"dc","Carl Sands (New Earth)","Bad","Brown","Black","Male","Living",73,1961
"dc","Dane Dorrance (New Earth)","Good","Brown","Brown","Male","Living",73,1960
"dc","Flying Cloud (New Earth)","Good","Brown","Brown","Male","Deceased",73,1960
"dc","Peter Merkel, Jr. (New Earth)","Bad","others","Red","Male","Living",72,2005
"dc","Garryn Bek (New Earth)","Good","Blue","Brown","Male","Living",72,1989
"dc","Jose Delgado (New Earth)","Good","Brown","Black","Male","Living",72,1987
"dc","Cain (New Earth)","Bad","Black","Brown","Male","Living",72,1968
"dc","Steven Trevor (New Earth)","Good","Blue","Blond","Male","Living",72,1941
"dc","Edgar Cizko (New Earth)","Bad","Blue","Black","Male","Living",71,1991
"dc","Louise Lincoln (New Earth)","Bad","Blue","others","Female","Living",71,1984
"dc","Brian Savage (New Earth)","Good","Blue","Black","Male","Deceased",71,1977
"dc","Thomas Oscar Morrow (New Earth)","Bad","Blue","Brown","Male","Living",71,1964
"dc","Kingsley Faraday (New Earth)","Good","Blue","White","Male","Living",70,1950
"dc","Clifford Zmeck (New Earth)","Bad","Blue","Brown","Male","Living",69,1988
"dc","Nabu (New Earth)","Good","Blue","White","Male","Deceased",69,1941
"dc","Bleez (New Earth)","Neutral","Blue","Black","Female","Living",68,2008
"dc","Catherine Cobert (New Earth)","Good","Blue","Black","Female","Living",68,1987
"dc","Harry Stein (New Earth)","Good","Brown","Brown","Male","Living",68,1985
"dc","Adeline Kane (New Earth)","Neutral","Green","Brown","Female","Deceased",68,1983
"dc","Tara Markov (New Earth)","Bad","Blue","Blond","Female","Deceased",68,1982
"dc","Hop Harrigan (New Earth)","Good","Blue","Blond","Male","Living",68,1939
"dc","Vath Sarn (New Earth)","Good","Black","Black","Male","Living",67,2005
"dc","Mercy Graves (New Earth)","Bad","Blue","Blond","Female","Living",67,1999
"dc","Arnold Munro (New Earth)","Good","Blue","Black","Male","Living",67,1987
"dc","Bibbo Bibbowski (New Earth)","Good","others","others","Male","Living",67,1987
"dc","Jebediah of Canaan (New Earth)","Good","Blue","White","Male","Living",67,1987
"dc","Lawrence Bolatinsky (New Earth)","Bad","Blue","Black","Male","Deceased",67,1984
"dc","Lydea Mallor (New Earth)","Good","Blue","Black","Female","Living",67,1982
"dc","Tana Moon (New Earth)","Good","Brown","Black","Female","Deceased",66,1993
"dc","Maxine Baker (New Earth)","Good","Green","Red","Female","Living",66,1988
"dc","Jason Bard (New Earth)","Good","Brown","Brown","Male","Living",66,1969
"dc","Krona (New Earth)","Bad","Green","White","Male","Deceased",66,1965
"dc","Daniel Dunbar (New Earth)","Good","Blue","Red","Male","Living",66,1942
"dc","Scandal Savage (New Earth)","Bad","Brown","Brown","Female","Living",65,2005
"dc","Karen Lou Faulkner (New Earth)","Neutral","Brown","Brown","Female","Living",65,1987
"dc","Kent V. Nelson (New Earth)","Good","Brown","Blond","Male","Living",64,2007
"dc","Janos Prohaska (New Earth)","Good","Blue","Black","Male","Living",64,1988
"dc","Edward Fyers (New Earth)","Good","Blue","Brown","Male","Living",64,1987
"dc","Mister Mxyzptlk (New Earth)","Neutral","Black","White","Male","Living",64,1987
"dc","Jor-El (New Earth)","Good","Blue","Black","Male","Deceased",64,1986
